feature_set,model,cv_rmse
engineered+chrono,hist_gbm,0.4348
chrono_only,random_forest,0.4364
chrono_only,hist_gbm,0.4384
chrono_only,knn,0.4388
lsa+chrono,random_forest,0.4409
lsa+chrono,hist_gbm,0.441
engineered+chrono,random_forest,0.4412
all_text+chrono,hist_gbm,0.4421
all_text+chrono,random_forest,0.4422
linguistic+chrono,random_forest,0.4428
linguistic+chrono,hist_gbm,0.4455
engineered+chrono,knn,0.4717
all_text+chrono,elasticnet,0.4735
linguistic+chrono,knn,0.475
lsa+chrono,elasticnet,0.4756
linguistic+chrono,ridge,0.4775
linguistic+chrono,elasticnet,0.4836
chrono_only,ridge,0.4842
chrono_only,elasticnet,0.4863
engineered+chrono,ridge,0.4881
engineered+chrono,elasticnet,0.489
all_text+chrono,ridge,0.4892
chrono_only,mlp,0.4898
lsa+chrono,ridge,0.4917
lsa_only,hist_gbm,0.5361
lsa_only,random_forest,0.5378
lsa_only,elasticnet,0.5426
lsa_only,ridge,0.5723
engineered+chrono,mlp,0.652
engineered,hist_gbm,0.6788
engineered,random_forest,0.6876
engineered,elasticnet,0.7013
engineered,ridge,0.7014
engineered,knn,0.7032
linguistic+chrono,mlp,0.7592
lsa+chrono,knn,0.8171
lsa_only,knn,0.8297
all_text+chrono,knn,0.8653
engineered,mlp,0.9201
lsa+chrono,mlp,1.0716
all_text+chrono,mlp,1.0817
lsa_only,mlp,1.1175
